Date,Species,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,Year,Month,Week,DayOfWeek,DistFromS1,DistFromS2,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Trange
2007-05-29,CULEX PIPIENS,T096,41.731922,-87.677512,1,0,2007,5,22,1,36.1,8.6,2,88.0,65.0,77.0,59.0,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16.0,7.4,23.0
2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,0,2007,5,22,1,11.8,19.2,1,88.0,60.0,74.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18.0,6.5,28.0
2007-05-29,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,0,2007,5,22,1,9.3,21.7,1,88.0,60.0,74.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18.0,6.5,28.0
2007-05-29,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,1,0,2007,5,22,1,27.1,12.1,2,88.0,65.0,77.0,59.0,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16.0,7.4,23.0
2007-05-29,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,1,0,2007,5,22,1,21.5,15.6,2,88.0,65.0,77.0,59.0,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16.0,7.4,23.0
2007-05-29,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,2,0,2007,5,22,1,26.2,18.1,2,88.0,65.0,77.0,59.0,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16.0,7.4,23.0
2007-05-29,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,1,0,2007,5,22,1,40.2,12.5,2,88.0,65.0,77.0,59.0,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16.0,7.4,23.0
2007-05-29,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,1,0,2007,5,22,1,29.0,16.5,2,88.0,65.0,77.0,59.0,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16.0,7.4,23.0
2007-05-29,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,1,0,2007,5,22,1,11.4,23.9,1,88.0,60.0,74.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18.0,6.5,28.0
2007-05-29,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,1,0,2007,5,22,1,20.5,26.3,1,88.0,60.0,74.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18.0,6.5,28.0
2007-05-29,CULEX RESTUANS,T002,41.95469,-87.800991,1,0,2007,5,22,1,11.8,19.2,1,88.0,60.0,74.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18.0,6.5,28.0
2007-05-29,CULEX RESTUANS,T007,41.994991,-87.769279,1,0,2007,5,22,1,13.6,23.3,1,88.0,60.0,74.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18.0,6.5,28.0
2007-05-29,CULEX RESTUANS,T015,41.974089,-87.824812,4,0,2007,5,22,1,9.3,21.7,1,88.0,60.0,74.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18.0,6.5,28.0
2007-05-29,CULEX RESTUANS,T045,41.9216,-87.666455,2,0,2007,5,22,1,23.6,16.7,2,88.0,65.0,77.0,59.0,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16.0,7.4,23.0
2007-05-29,CULEX RESTUANS,T046,41.891118,-87.654491,1,0,2007,5,22,1,25.8,14.2,2,88.0,65.0,77.0,59.0,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16.0,7.4,23.0
2007-05-29,CULEX RESTUANS,T048,41.867108,-87.654224,2,0,2007,5,22,1,27.1,12.1,2,88.0,65.0,77.0,59.0,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16.0,7.4,23.0
2007-05-29,CULEX RESTUANS,T049,41.896282,-87.655232,1,0,2007,5,22,1,25.5,14.7,2,88.0,65.0,77.0,59.0,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16.0,7.4,23.0
2007-05-29,CULEX RESTUANS,T054,41.921965,-87.632085,3,0,2007,5,22,1,26.2,18.1,2,88.0,65.0,77.0,59.0,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16.0,7.4,23.0
2007-05-29,CULEX RESTUANS,T086,41.688324,-87.676709,1,0,2007,5,22,1,40.2,12.5,2,88.0,65.0,77.0,59.0,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16.0,7.4,23.0
2007-05-29,CULEX RESTUANS,T091,41.862292,-87.64886,1,0,2007,5,22,1,27.8,12.1,2,88.0,65.0,77.0,59.0,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16.0,7.4,23.0
2007-05-29,CULEX RESTUANS,T094,41.720848,-87.666014,3,0,2007,5,22,1,37.7,10.2,2,88.0,65.0,77.0,59.0,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16.0,7.4,23.0
2007-05-29,CULEX RESTUANS,T096,41.731922,-87.677512,5,0,2007,5,22,1,36.1,8.6,2,88.0,65.0,77.0,59.0,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16.0,7.4,23.0
2007-05-29,CULEX RESTUANS,T129,41.891126,-87.61156,2,0,2007,5,22,1,29.0,16.5,2,88.0,65.0,77.0,59.0,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16.0,7.4,23.0
2007-05-29,CULEX RESTUANS,T153,41.907645,-87.760886,1,0,2007,5,22,1,17.3,13.5,2,88.0,65.0,77.0,59.0,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16.0,7.4,23.0
2007-05-29,CULEX RESTUANS,T159,41.732984,-87.649642,1,0,2007,5,22,1,37.4,10.4,2,88.0,65.0,77.0,59.0,66.0,0.0,12.0,421.0,1917.0,0.0,29.44,30.09,5.8,16.0,7.4,23.0
2007-06-05,CULEX PIPIENS,T002,41.95469,-87.800991,1,0,2007,6,23,1,11.8,19.2,1,64.0,47.0,56.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.42,29.1,29.79,5.2,5.0,7.6,17.0
2007-06-05,CULEX PIPIENS,T045,41.9216,-87.666455,1,0,2007,6,23,1,23.6,16.7,2,63.0,51.0,57.0,47.0,52.0,8.0,0.0,417.0,1923.0,0.27,29.16,29.78,6.2,3.0,8.1,12.0
2007-06-05,CULEX PIPIENS,T048,41.867108,-87.654224,2,0,2007,6,23,1,27.1,12.1,2,63.0,51.0,57.0,47.0,52.0,8.0,0.0,417.0,1923.0,0.27,29.16,29.78,6.2,3.0,8.1,12.0
2007-06-05,CULEX PIPIENS,T096,41.731922,-87.677512,1,0,2007,6,23,1,36.1,8.6,2,63.0,51.0,57.0,47.0,52.0,8.0,0.0,417.0,1923.0,0.27,29.16,29.78,6.2,3.0,8.1,12.0
2007-06-05,CULEX PIPIENS,T135,41.662014,-87.724608,1,0,2007,6,23,1,40.8,14.0,2,63.0,51.0,57.0,47.0,52.0,8.0,0.0,417.0,1923.0,0.27,29.16,29.78,6.2,3.0,8.1,12.0
2007-06-05,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,3,0,2007,6,23,1,11.8,19.2,1,64.0,47.0,56.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.42,29.1,29.79,5.2,5.0,7.6,17.0
2007-06-05,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,0,2007,6,23,1,9.3,21.7,1,64.0,47.0,56.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.42,29.1,29.79,5.2,5.0,7.6,17.0
2007-06-05,CULEX PIPIENS/RESTUANS,T031,41.801498,-87.763416,1,0,2007,6,23,1,25.7,2.0,2,63.0,51.0,57.0,47.0,52.0,8.0,0.0,417.0,1923.0,0.27,29.16,29.78,6.2,3.0,8.1,12.0
2007-06-05,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,1,0,2007,6,23,1,23.6,16.7,2,63.0,51.0,57.0,47.0,52.0,8.0,0.0,417.0,1923.0,0.27,29.16,29.78,6.2,3.0,8.1,12.0
2007-06-05,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,1,0,2007,6,23,1,27.1,12.1,2,63.0,51.0,57.0,47.0,52.0,8.0,0.0,417.0,1923.0,0.27,29.16,29.78,6.2,3.0,8.1,12.0
2007-06-05,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,1,0,2007,6,23,1,21.5,15.6,2,63.0,51.0,57.0,47.0,52.0,8.0,0.0,417.0,1923.0,0.27,29.16,29.78,6.2,3.0,8.1,12.0
2007-06-05,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,1,0,2007,6,23,1,26.2,11.5,2,63.0,51.0,57.0,47.0,52.0,8.0,0.0,417.0,1923.0,0.27,29.16,29.78,6.2,3.0,8.1,12.0
2007-06-05,CULEX PIPIENS/RESTUANS,T092,41.869216,-87.627561,1,0,2007,6,23,1,28.9,13.9,2,63.0,51.0,57.0,47.0,52.0,8.0,0.0,417.0,1923.0,0.27,29.16,29.78,6.2,3.0,8.1,12.0
2007-06-05,CULEX PIPIENS/RESTUANS,T094,41.720848,-87.666014,2,0,2007,6,23,1,37.7,10.2,2,63.0,51.0,57.0,47.0,52.0,8.0,0.0,417.0,1923.0,0.27,29.16,29.78,6.2,3.0,8.1,12.0
2007-06-05,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,1,0,2007,6,23,1,36.1,8.6,2,63.0,51.0,57.0,47.0,52.0,8.0,0.0,417.0,1923.0,0.27,29.16,29.78,6.2,3.0,8.1,12.0
